Net:-3.72960637748, Trade:0.87836869471, Cost:4.60797507219, Trades/Day:135.316666667, et:-2, leb:2, bs:1, ueb:3,
Net:-3.15500641624, Trade:1.24757971665, Cost:4.4025861329, Trades/Day:125.35, et:-2, leb:2, bs:2, ueb:3,
Net:-2.8485844205, Trade:1.40632799675, Cost:4.25491241725, Trades/Day:118.066666667, et:-2, leb:2, bs:3, ueb:3,
Net:-2.72362175668, Trade:1.40261317724, Cost:4.12623493392, Trades/Day:111.45, et:-2, leb:2, bs:4, ueb:3,
Net:-2.58473299429, Trade:1.40691350618, Cost:3.99164650047, Trades/Day:105.366666667, et:-2, leb:2, bs:5, ueb:3,
Net:-2.51953448425, Trade:1.34836235545, Cost:3.8678968397, Trades/Day:99.6666666667, et:-2, leb:2, bs:6, ueb:3,
Net:-2.3991250344, Trade:1.3683912931, Cost:3.7675163275, Trades/Day:94.8833333333, et:-2, leb:2, bs:7, ueb:3,
Net:-2.28955324431, Trade:1.38946699668, Cost:3.67902024098, Trades/Day:90.9333333333, et:-2, leb:2, bs:8, ueb:3,
Net:-2.19624560164, Trade:1.39915663183, Cost:3.59540223347, Trades/Day:87.25, et:-2, leb:2, bs:9, ueb:3,
Net:-2.10273798127, Trade:1.40823844961, Cost:3.51097643088, Trades/Day:83.65, et:-2, leb:2, bs:10, ueb:3,
Net:-2.03276460619, Trade:1.3962009166, Cost:3.42896552279, Trades/Day:80.3833333333, et:-2, leb:2, bs:11, ueb:3,
Net:-1.93471604874, Trade:1.43096439134, Cost:3.36568044008, Trades/Day:77.6666666667, et:-2, leb:2, bs:12, ueb:3,
Net:-3.52805456184, Trade:1.04082687703, Cost:4.56888143887, Trades/Day:133.616666667, et:-1, leb:2, bs:1, ueb:3,
Net:-2.90174252447, Trade:1.4229057942, Cost:4.32464831867, Trades/Day:121.416666667, et:-1, leb:2, bs:2, ueb:3,
Net:-2.57097097481, Trade:1.55356958482, Cost:4.12454055963, Trades/Day:111.783333333, et:-1, leb:2, bs:3, ueb:3,
Net:-2.49366698838, Trade:1.44060417294, Cost:3.93427116132, Trades/Day:103.066666667, et:-1, leb:2, bs:4, ueb:3,
Net:-2.36355285464, Trade:1.41471831948, Cost:3.77827117412, Trades/Day:95.7166666667, et:-1, leb:2, bs:5, ueb:3,
Net:-2.16945919365, Trade:1.4473795647, Cost:3.61683875835, Trades/Day:88.75, et:-1, leb:2, bs:6, ueb:3,
Net:-2.07296197835, Trade:1.43258511983, Cost:3.50554709818, Trades/Day:83.2333333333, et:-1, leb:2, bs:7, ueb:3,
Net:-1.95116539106, Trade:1.45216087826, Cost:3.40332626931, Trades/Day:78.7333333333, et:-1, leb:2, bs:8, ueb:3,
Net:-1.83691414074, Trade:1.45360463186, Cost:3.2905187726, Trades/Day:73.8166666667, et:-1, leb:2, bs:9, ueb:3,
Net:-1.77839213085, Trade:1.43580220399, Cost:3.21419433484, Trades/Day:70.5666666667, et:-1, leb:2, bs:10, ueb:3,
Net:-1.69174549689, Trade:1.44057194627, Cost:3.13231744316, Trades/Day:66.8333333333, et:-1, leb:2, bs:11, ueb:3,
Net:-1.60998932651, Trade:1.46405704337, Cost:3.07404636988, Trades/Day:64.2, et:-1, leb:2, bs:12, ueb:3,
Net:-2.840329585, Trade:1.48248392401, Cost:4.32281350901, Trades/Day:121.816666667, et:0, leb:2, bs:1, ueb:3,
Net:-1.78297392894, Trade:1.87399173505, Cost:3.65696566399, Trades/Day:91.6, et:0, leb:2, bs:2, ueb:3,
Net:-1.34612779349, Trade:1.74190530611, Cost:3.08803309959, Trades/Day:65.75, et:0, leb:2, bs:3, ueb:3,
Net:-1.11734765573, Trade:1.61506752422, Cost:2.73241517995, Trades/Day:49.05, et:0, leb:2, bs:4, ueb:3,
Net:-1.00857664045, Trade:1.56716532799, Cost:2.57574196844, Trades/Day:41.7, et:0, leb:2, bs:5, ueb:3,
Net:-1.0288782889, Trade:1.50139015273, Cost:2.53026844163, Trades/Day:39.3333333333, et:0, leb:2, bs:6, ueb:3,
Net:-1.01182323629, Trade:1.4924119355, Cost:2.50423517179, Trades/Day:38.1833333333, et:0, leb:2, bs:7, ueb:3,
Net:-0.999186055675, Trade:1.49953225903, Cost:2.49871831471, Trades/Day:37.9166666667, et:0, leb:2, bs:8, ueb:3,
Net:-0.992261302783, Trade:1.50564266483, Cost:2.49790396762, Trades/Day:37.85, et:0, leb:2, bs:9, ueb:3,
Net:-0.992261302783, Trade:1.50564266483, Cost:2.49790396762, Trades/Day:37.85, et:0, leb:2, bs:10, ueb:3,
Net:-0.992261302783, Trade:1.50564266483, Cost:2.49790396762, Trades/Day:37.85, et:0, leb:2, bs:11, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:0, leb:2, bs:12, ueb:3,
Net:-2.14416771928, Trade:1.84256840269, Cost:3.98673612197, Trades/Day:106.033333333, et:1, leb:2, bs:1, ueb:3,
Net:-0.986206148273, Trade:1.89981232689, Cost:2.88601847516, Trades/Day:56.1166666667, et:1, leb:2, bs:2, ueb:3,
Net:-0.963283892464, Trade:1.61246911145, Cost:2.57575300391, Trades/Day:41.3833333333, et:1, leb:2, bs:3, ueb:3,
Net:-0.967644016846, Trade:1.5414956097, Cost:2.50913962655, Trades/Day:38.4166666667, et:1, leb:2, bs:4, ueb:3,
Net:-0.992951678494, Trade:1.5060693904, Cost:2.49902106889, Trades/Day:37.9333333333, et:1, leb:2, bs:5, ueb:3,
Net:-0.993121073396, Trade:1.50389242286, Cost:2.49701349626, Trades/Day:37.8333333333, et:1, leb:2, bs:6, ueb:3,
Net:-0.991611865478, Trade:1.50540163019, Cost:2.49701349567, Trades/Day:37.8333333333, et:1, leb:2, bs:7, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:1, leb:2, bs:8, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:1, leb:2, bs:9, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:1, leb:2, bs:10, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:1, leb:2, bs:11, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:1, leb:2, bs:12, ueb:3,
Net:-0.998911262954, Trade:1.87987607517, Cost:2.87878733812, Trades/Day:55.2166666667, et:2, leb:2, bs:1, ueb:3,
Net:-0.940154017858, Trade:1.58665336631, Cost:2.52680738416, Trades/Day:39.1833333333, et:2, leb:2, bs:2, ueb:3,
Net:-0.980708929015, Trade:1.51836368846, Cost:2.49907261748, Trades/Day:37.9833333333, et:2, leb:2, bs:3, ueb:3,
Net:-0.988355123045, Trade:1.50969250134, Cost:2.49804762438, Trades/Day:37.85, et:2, leb:2, bs:4, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:2, leb:2, bs:5, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:2, leb:2, bs:6, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:2, leb:2, bs:7, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:2, leb:2, bs:8, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:2, leb:2, bs:9, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:2, leb:2, bs:10, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:2, leb:2, bs:11, ueb:3,
Net:-0.991486010333, Trade:1.50552748533, Cost:2.49701349567, Trades/Day:37.8166666667, et:2, leb:2, bs:12, ueb:3,
Net:-4.49122674627, Trade:1.277413633, Cost:5.76864037927, Trades/Day:167.733333333, et:-2, leb:2, bs:1, ueb:4,
Net:-3.68150323792, Trade:1.74886108311, Cost:5.43036432103, Trades/Day:151.783333333, et:-2, leb:2, bs:2, ueb:4,
Net:-3.2702333269, Trade:1.9118761939, Cost:5.1821095208, Trades/Day:140.516666667, et:-2, leb:2, bs:3, ueb:4,
Net:-3.06733576909, Trade:1.92102504198, Cost:4.98836081107, Trades/Day:130.733333333, et:-2, leb:2, bs:4, ueb:4,
Net:-2.88396675286, Trade:1.92539242957, Cost:4.80935918243, Trades/Day:122.266666667, et:-2, leb:2, bs:5, ueb:4,
Net:-2.77183908603, Trade:1.88183278682, Cost:4.65367187286, Trades/Day:115.183333333, et:-2, leb:2, bs:6, ueb:4,
Net:-2.59639320817, Trade:1.93264099036, Cost:4.52903419853, Trades/Day:109.433333333, et:-2, leb:2, bs:7, ueb:4,
Net:-2.46216985607, Trade:1.95707371882, Cost:4.4192435749, Trades/Day:104.533333333, et:-2, leb:2, bs:8, ueb:4,
Net:-2.36357740376, Trade:1.96249586184, Cost:4.3260732656, Trades/Day:100.15, et:-2, leb:2, bs:9, ueb:4,
Net:-2.24230543008, Trade:1.98134226452, Cost:4.2236476946, Trades/Day:95.7833333333, et:-2, leb:2, bs:10, ueb:4,
Net:-2.14434401883, Trade:1.99001119178, Cost:4.13435521061, Trades/Day:92.3, et:-2, leb:2, bs:11, ueb:4,
Net:-2.03756362929, Trade:2.02846092194, Cost:4.06602455123, Trades/Day:89.3166666667, et:-2, leb:2, bs:12, ueb:4,
Net:-4.2170629373, Trade:1.48200767756, Cost:5.69907061485, Trades/Day:164.7, et:-1, leb:2, bs:1, ueb:4,
Net:-3.35902711251, Trade:1.93858060728, Cost:5.29760771979, Trades/Day:145.416666667, et:-1, leb:2, bs:2, ueb:4,
Net:-2.92593057106, Trade:2.07187247606, Cost:4.99780304712, Trades/Day:131.466666667, et:-1, leb:2, bs:3, ueb:4,
Net:-2.75060255658, Trade:2.00493260779, Cost:4.75553516438, Trades/Day:119.866666667, et:-1, leb:2, bs:4, ueb:4,
Net:-2.57200939036, Trade:1.99116034589, Cost:4.56316973625, Trades/Day:110.683333333, et:-1, leb:2, bs:5, ueb:4,
Net:-2.33752006051, Trade:2.02607358734, Cost:4.36359364785, Trades/Day:102.3, et:-1, leb:2, bs:6, ueb:4,
Net:-2.19909672397, Trade:2.03820201624, Cost:4.23729874021, Trades/Day:96.1666666667, et:-1, leb:2, bs:7, ueb:4,
Net:-2.03941564925, Trade:2.07875908244, Cost:4.1181747317, Trades/Day:90.9333333333, et:-1, leb:2, bs:8, ueb:4,
Net:-1.96416905012, Trade:2.04254466295, Cost:4.00671371307, Trades/Day:85.7833333333, et:-1, leb:2, bs:9, ueb:4,
Net:-1.9067103822, Trade:2.02353529174, Cost:3.93024567394, Trades/Day:82.4166666667, et:-1, leb:2, bs:10, ueb:4,
Net:-1.8222650572, Trade:2.01808798755, Cost:3.84035304475, Trades/Day:78.55, et:-1, leb:2, bs:11, ueb:4,
Net:-1.72805931404, Trade:2.03866703856, Cost:3.7667263526, Trades/Day:75.55, et:-1, leb:2, bs:12, ueb:4,
Net:-3.32592888039, Trade:1.97887076974, Cost:5.30479965013, Trades/Day:146.233333333, et:0, leb:2, bs:1, ueb:4,
Net:-2.00563272194, Trade:2.41901831168, Cost:4.42465103362, Trades/Day:105.55, et:0, leb:2, bs:2, ueb:4,
Net:-1.46221070725, Trade:2.28283928913, Cost:3.74504999638, Trades/Day:74.9833333333, et:0, leb:2, bs:3, ueb:4,
Net:-1.20011634041, Trade:2.18635441107, Cost:3.38647075148, Trades/Day:58.2333333333, et:0, leb:2, bs:4, ueb:4,
Net:-1.13612851215, Trade:2.10941339537, Cost:3.24554190752, Trades/Day:51.3666666667, et:0, leb:2, bs:5, ueb:4,
Net:-1.15468465065, Trade:2.05338947372, Cost:3.20807412437, Trades/Day:49.3833333333, et:0, leb:2, bs:6, ueb:4,
Net:-1.1326816966, Trade:2.05532439415, Cost:3.18800609074, Trades/Day:48.45, et:0, leb:2, bs:7, ueb:4,
Net:-1.11958790473, Trade:2.06301876852, Cost:3.18260667325, Trades/Day:48.2166666667, et:0, leb:2, bs:8, ueb:4,
Net:-1.11150251304, Trade:2.06936356598, Cost:3.18086607902, Trades/Day:48.15, et:0, leb:2, bs:9, ueb:4,
Net:-1.11150251304, Trade:2.06936356598, Cost:3.18086607902, Trades/Day:48.15, et:0, leb:2, bs:10, ueb:4,
Net:-1.11150251304, Trade:2.06936356598, Cost:3.18086607902, Trades/Day:48.15, et:0, leb:2, bs:11, ueb:4,
Net:-1.11072722059, Trade:2.06924838648, Cost:3.17997560707, Trades/Day:48.1166666667, et:0, leb:2, bs:12, ueb:4,
Net:-2.44760275893, Trade:2.3724404593, Cost:4.82004321823, Trades/Day:123.55, et:1, leb:2, bs:1, ueb:4,
Net:-1.15881979209, Trade:2.36510663754, Cost:3.52392642963, Trades/Day:64.3833333333, et:1, leb:2, bs:2, ueb:4,
Net:-1.07639466231, Trade:2.15373848197, Cost:3.23013314428, Trades/Day:50.6166666667, et:1, leb:2, bs:3, ueb:4,
Net:-1.09118033692, Trade:2.09176511447, Cost:3.1829454514, Trades/Day:48.3666666667, et:1, leb:2, bs:4, ueb:4,
