Net:0.13657431467, Trade:4.07725340526, Cost:3.94067909059, Trades/Day:77.9915966387, et:-1, leb:2, bs:8, ueb:3,
Net:0.24734525145, Trade:4.07699832045, Cost:3.829653069, Trades/Day:73.7647058824, et:-1, leb:2, bs:9, ueb:3,
Net:0.340580030369, Trade:4.06825414619, Cost:3.72767411583, Trades/Day:69.7899159664, et:-1, leb:2, bs:10, ueb:3,
Net:0.453572184724, Trade:4.10653776255, Cost:3.65296557782, Trades/Day:66.7647058824, et:-1, leb:2, bs:11, ueb:3,
Net:0.496659185125, Trade:4.08774172759, Cost:3.59108254247, Trades/Day:64.2521008403, et:-1, leb:2, bs:12, ueb:3,
Net:0.240662958673, Trade:4.61964142928, Cost:4.37897847061, Trades/Day:95.2773109244, et:0, leb:2, bs:2, ueb:3,
Net:1.15451898386, Trade:4.83877389939, Cost:3.68425491553, Trades/Day:68.8907563025, et:0, leb:2, bs:3, ueb:3,
Net:1.33448107165, Trade:4.55666863079, Cost:3.22218755914, Trades/Day:50.7899159664, et:0, leb:2, bs:4, ueb:3,
Net:1.32894941144, Trade:4.32806476903, Cost:2.9991153576, Trades/Day:42.1680672269, et:0, leb:2, bs:5, ueb:3,
Net:1.23794211526, Trade:4.15429053076, Cost:2.9163484155, Trades/Day:38.731092437, et:0, leb:2, bs:6, ueb:3,
Net:1.21357364997, Trade:4.10349755099, Cost:2.88992390102, Trades/Day:37.5714285714, et:0, leb:2, bs:7, ueb:3,
Net:1.21388086742, Trade:4.08745067932, Cost:2.8735698119, Trades/Day:36.974789916, et:0, leb:2, bs:8, ueb:3,
Net:1.20862764114, Trade:4.07849421708, Cost:2.86986657594, Trades/Day:36.7983193277, et:0, leb:2, bs:9, ueb:3,
Net:1.21160060738, Trade:4.08090992243, Cost:2.86930931505, Trades/Day:36.7731092437, et:0, leb:2, bs:10, ueb:3,
Net:1.2105497859, Trade:4.0798591008, Cost:2.8693093149, Trades/Day:36.7647058824, et:0, leb:2, bs:11, ueb:3,
Net:1.2105497859, Trade:4.0798591008, Cost:2.8693093149, Trades/Day:36.7647058824, et:0, leb:2, bs:12, ueb:3,
Net:1.45453698614, Trade:4.81514485183, Cost:3.36060786568, Trades/Day:56.243697479, et:1, leb:2, bs:2, ueb:3,
