Net:0.0191849747904, Trade:1.05537542393, Cost:1.03619044914, Trades/Day:25.9833333333, et:0, leb:3, bs:3, ueb:4,
Net:0.0266168830144, Trade:0.922419342203, Cost:0.895802459189, Trades/Day:19.4166666667, et:0, leb:3, bs:4, ueb:4,
Net:0.0149154500284, Trade:0.805325862206, Cost:0.790410412178, Trades/Day:14.55, et:0, leb:3, bs:5, ueb:4,
Net:0.0188019447305, Trade:0.768919947978, Cost:0.750118003248, Trades/Day:12.55, et:0, leb:3, bs:6, ueb:4,
Net:0.00943675801547, Trade:0.838583824336, Cost:0.829147066321, Trades/Day:16.1166666667, et:3, leb:3, bs:1, ueb:4,
Net:0.0658921095156, Trade:1.18243627773, Cost:1.11654416822, Trades/Day:22.8833333333, et:0, leb:3, bs:4, ueb:5,
Net:0.111879653576, Trade:1.11319445817, Cost:1.0013148046, Trades/Day:17.7666666667, et:0, leb:3, bs:5, ueb:5,
Net:0.100450629453, Trade:1.05936556559, Cost:0.958914936133, Trades/Day:15.6833333333, et:0, leb:3, bs:6, ueb:5,
Net:0.103261852345, Trade:1.04195578485, Cost:0.938693932507, Trades/Day:14.7333333333, et:0, leb:3, bs:7, ueb:5,
Net:0.0919720044478, Trade:1.02114167494, Cost:0.929169670494, Trades/Day:14.2833333333, et:0, leb:3, bs:8, ueb:5,
Net:0.0725901571845, Trade:0.999490083782, Cost:0.926899926597, Trades/Day:14.1333333333, et:0, leb:3, bs:9, ueb:5,
Net:0.0716091777997, Trade:0.998509104188, Cost:0.926899926388, Trades/Day:14.1333333333, et:0, leb:3, bs:10, ueb:5,
Net:0.0551933190242, Trade:0.982093223638, Cost:0.926899904614, Trades/Day:14.1166666667, et:0, leb:3, bs:11, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:0, leb:3, bs:12, ueb:5,
Net:0.0384581748075, Trade:1.05790693824, Cost:1.01944876344, Trades/Day:18.2, et:1, leb:3, bs:3, ueb:5,
Net:0.0675456717036, Trade:1.01585531486, Cost:0.948309643161, Trades/Day:14.8833333333, et:1, leb:3, bs:4, ueb:5,
Net:0.0564767010271, Trade:0.98674204998, Cost:0.930265348953, Trades/Day:14.2333333333, et:1, leb:3, bs:5, ueb:5,
Net:0.0596088534784, Trade:0.98789212602, Cost:0.928283272542, Trades/Day:14.15, et:1, leb:3, bs:6, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:1, leb:3, bs:7, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:1, leb:3, bs:8, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:1, leb:3, bs:9, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:1, leb:3, bs:10, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:1, leb:3, bs:11, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:1, leb:3, bs:12, ueb:5,
Net:0.0183722288528, Trade:0.994277764771, Cost:0.975905535918, Trades/Day:16.1666666667, et:2, leb:3, bs:2, ueb:5,
Net:0.0583663844794, Trade:0.98792355897, Cost:0.929557174491, Trades/Day:14.2, et:2, leb:3, bs:3, ueb:5,
Net:0.0566623384066, Trade:0.984909724341, Cost:0.928247385935, Trades/Day:14.1333333333, et:2, leb:3, bs:4, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:2, leb:3, bs:5, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:2, leb:3, bs:6, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:2, leb:3, bs:7, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:2, leb:3, bs:8, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:2, leb:3, bs:9, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:2, leb:3, bs:10, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:2, leb:3, bs:11, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:2, leb:3, bs:12, ueb:5,
Net:0.0635839149871, Trade:1.03914041626, Cost:0.97555650127, Trades/Day:16.4833333333, et:3, leb:3, bs:1, ueb:5,
Net:0.0550320451853, Trade:0.983279433165, Cost:0.92824738798, Trades/Day:14.1666666667, et:3, leb:3, bs:2, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:3, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:4, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:5, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:6, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:7, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:8, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:9, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:10, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:11, ueb:5,
Net:0.0580927986058, Trade:0.984992701789, Cost:0.926899903183, Trades/Day:14.1, et:3, leb:3, bs:12, ueb:5,
Net:0.105748713856, Trade:1.27511197217, Cost:1.16936325832, Trades/Day:23.7833333333, et:0, leb:3, bs:4, ueb:6,
Net:0.182037792253, Trade:1.2363587823, Cost:1.05432099005, Trades/Day:18.6666666667, et:0, leb:3, bs:5, ueb:6,
Net:0.16679691628, Trade:1.17860300462, Cost:1.01180608834, Trades/Day:16.5333333333, et:0, leb:3, bs:6, ueb:6,
Net:0.167749910217, Trade:1.16044241466, Cost:0.992692504438, Trades/Day:15.6166666667, et:0, leb:3, bs:7, ueb:6,
Net:0.156077741436, Trade:1.13925052578, Cost:0.983172784341, Trades/Day:15.15, et:0, leb:3, bs:8, ueb:6,
Net:0.136695894173, Trade:1.11759893462, Cost:0.980903040445, Trades/Day:15.0, et:0, leb:3, bs:9, ueb:6,
Net:0.135714914788, Trade:1.11661795502, Cost:0.980903040235, Trades/Day:15.0, et:0, leb:3, bs:10, ueb:6,
Net:0.119299056013, Trade:1.10020207447, Cost:0.980903018461, Trades/Day:14.9833333333, et:0, leb:3, bs:11, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:0, leb:3, bs:12, ueb:6,
Net:0.00358126915903, Trade:1.32876430683, Cost:1.32518303767, Trades/Day:30.7666666667, et:1, leb:3, bs:2, ueb:6,
Net:0.117090253342, Trade:1.18715231327, Cost:1.07006205992, Trades/Day:19.0, et:1, leb:3, bs:3, ueb:6,
Net:0.125243722204, Trade:1.12824877403, Cost:1.00300505182, Trades/Day:15.75, et:1, leb:3, bs:4, ueb:6,
Net:0.122413447654, Trade:1.10766254494, Cost:0.985249097286, Trades/Day:15.15, et:1, leb:3, bs:5, ueb:6,
Net:0.123714590467, Trade:1.10600097686, Cost:0.982286386389, Trades/Day:15.0166666667, et:1, leb:3, bs:6, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:7, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:8, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:9, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:10, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:11, ueb:6,
Net:0.122198535594, Trade:1.10310155262, Cost:0.98090301703, Trades/Day:14.9666666667, et:1, leb:3, bs:12, ueb:6,
Net:0.0756697051495, Trade:1.10663400496, Cost:1.03096429981, Trades/Day:16.9833333333, et:2, leb:3, bs:2, ueb:6,
